cuadro,indicador_inei,variable,anio,valor_inei,ee_inei,ic_inf_inei,ic_sup_inei,cv_inei,tolerancia
12.1.1,Violencia física alguna vez,violencia_fisica_alguna_vez,2021,26.7,,,,,0.05
12.1.1,Violencia física alguna vez,violencia_fisica_alguna_vez,2022,27.7557,0.6550552161353225,26.47129182954455,29.040097137161148,2.3600750344337724,0.005
12.1.1,Violencia física alguna vez,violencia_fisica_alguna_vez,2023,27.1901,0.6120499449582295,25.98998723017561,28.39014566567814,2.25100569772567,0.005
12.1.1,Violencia física alguna vez,violencia_fisica_alguna_vez,2024,25.4588,0.6435178868961259,24.19706675441267,26.720629673814205,2.527678713051062,0.005
12.1.1,Violencia física alguna vez,violencia_fisica_alguna_vez,2025,23.2382,0.6950973501905263,21.875325297503988,24.601160632994095,2.9911785982700563,0.005
12.1.1,Violencia psicológica y/o verbal alguna vez,violencia_psicologica_alguna_vez,2022,51.8855,0.7526037727107473,50.40984306016894,53.3611859672259,1.450508450700754,0.005
12.1.1,Violencia psicológica y/o verbal alguna vez,violencia_psicologica_alguna_vez,2023,49.3388,0.7223778696776997,47.92238459860231,50.75519481582339,1.4641175309821093,0.005
12.1.1,Violencia psicológica y/o verbal alguna vez,violencia_psicologica_alguna_vez,2024,48.417,0.7486488554118116,46.94910994075067,49.8849451826926,1.5462511705359034,0.005
12.1.1,Violencia psicológica y/o verbal alguna vez,violencia_psicologica_alguna_vez,2025,45.6047,0.8340367781076956,43.96934095990515,47.240029476040526,1.8288401161444725,0.005
12.1.1,Violencia sexual alguna vez,violencia_sexual_alguna_vez,2021,5.9,,,,,0.05
12.1.1,Violencia sexual alguna vez,violencia_sexual_alguna_vez,2022,6.7036,0.37292489083561103,5.972354750483583,7.434783283718802,5.563079754743453,0.005
12.1.1,Violencia sexual alguna vez,violencia_sexual_alguna_vez,2023,6.4635,0.3659430904356017,5.745952297411212,7.181000862741637,5.661706759542011,0.005
12.1.1,Violencia sexual alguna vez,violencia_sexual_alguna_vez,2024,5.5971,0.3273236959072743,4.955306973889744,6.238910675439058,5.848085255460445,0.005
12.1.1,Violencia sexual alguna vez,violencia_sexual_alguna_vez,2025,5.6402,0.4054089183393552,4.845253414642378,6.435070948300557,7.187894696914331,0.005
12.1.1,Violencia total alguna vez,violencia_total_alguna_vez,2022,55.6568,0.7502542700894643,54.18569290315494,57.12782221316672,1.3480021169135752,0.005
12.1.1,Violencia total alguna vez,violencia_total_alguna_vez,2023,53.7558,0.7105783772671929,52.36255546137139,55.14909388087889,1.3218630383116028,0.005
12.1.1,Violencia total alguna vez,violencia_total_alguna_vez,2024,51.96,0.7490691686450269,50.49124935489758,53.42873286009914,1.4416268222511848,0.005
12.1.1,Violencia total alguna vez,violencia_total_alguna_vez,2025,49.091,0.8392668994379652,47.44544872727072,50.736647247547296,1.709612920981484,0.005
12.1.1 / 12.1,Violencia total alguna vez,violencia_total_alguna_vez,2021,54.8603,,,,,0.005
12.1.1 / 12.2,Violencia psicológica y/o verbal alguna vez,violencia_psicologica_alguna_vez,2021,50.8315,,,,,0.005
12.10,Buscó ayuda en alguna institución,ayuda_institucion,2021,29.2773,,,,,0.005
12.10,Buscó ayuda en alguna institución,ayuda_institucion,2022,29.0879,1.003153424844585,27.120917083795685,31.054928331670244,3.4486939302059505,0.005
12.10,Buscó ayuda en alguna institución,ayuda_institucion,2023,29.663,1.022530594201413,27.65798476647923,31.66798956796912,3.447159884596006,0.005
12.10,Buscó ayuda en alguna institución,ayuda_institucion,2024,29.4636,1.0347331570527216,27.434659786829606,31.492556956516793,3.511902357647175,0.005
12.10,Buscó ayuda en alguna institución,ayuda_institucion,2025,31.3613,1.172412086292687,29.06238515340978,33.66031478114458,3.7383980202255205,0.005
12.10,Buscó ayuda en personas cercanas,ayuda_personas_cercanas,2021,44.0191,,,,,0.005
12.10,Buscó ayuda en personas cercanas,ayuda_personas_cercanas,2022,45.6924,1.0316574866595611,43.669488099090415,47.71528214809292,2.2578324240878835,0.005
12.10,Buscó ayuda en personas cercanas,ayuda_personas_cercanas,2023,45.3372,1.0815058306826795,43.216515881569684,47.45780078636403,2.3854733521584857,0.005
12.10,Buscó ayuda en personas cercanas,ayuda_personas_cercanas,2024,44.5602,1.1730978138895165,42.25993789443617,46.86045761906498,2.632613572079132,0.005
12.10,Buscó ayuda en personas cercanas,ayuda_personas_cercanas,2025,45.4687,1.3353251949574458,42.85027771953235,48.087114961606666,2.9368011454641163,0.005
12.4.1,"Violencia física, últimos 12 meses",violencia_fisica_12m,2021,6.9,,,,,0.05
12.4.1,"Violencia física, últimos 12 meses",violencia_fisica_12m,2022,8.1185,0.39821722259602704,7.337672466176103,8.899285120791916,4.905071907259782,0.005
12.4.1,"Violencia física, últimos 12 meses",violencia_fisica_12m,2023,7.6382,0.3574047265384502,6.937452043591956,8.339017351057638,4.679153504717878,0.005
12.4.1,"Violencia física, últimos 12 meses",violencia_fisica_12m,2024,7.0007,0.35375820598769375,6.3070702221498545,7.694337164130993,5.05318067288465,0.005
12.4.1,"Violencia física, últimos 12 meses",violencia_fisica_12m,2025,6.5321,0.4160141017474434,5.716436696978825,7.347842626370632,6.368726379019039,0.005
12.4.1,"Violencia física y/o sexual, últimos 12 meses",violencia_fisica_o_sexual_12m,2021,7.6,,,,,0.05
12.4.1,"Violencia física y/o sexual, últimos 12 meses",violencia_fisica_o_sexual_12m,2022,8.5719,0.4046423391776333,7.7785418745753985,9.365350685439319,4.72054217280146,0.005
12.4.1,"Violencia física y/o sexual, últimos 12 meses",violencia_fisica_o_sexual_12m,2023,8.2555,0.36513644467599304,7.539573312917534,8.971458610870297,4.422939115633741,0.005
12.4.1,"Violencia física y/o sexual, últimos 12 meses",violencia_fisica_o_sexual_12m,2024,7.5137,0.3615133604033929,6.804870229550598,8.222549100269392,4.811383145288504,0.005
12.4.1,"Violencia física y/o sexual, últimos 12 meses",violencia_fisica_o_sexual_12m,2025,6.8151,0.4212931832050992,5.989013999412694,7.641121930865458,6.181789900851001,0.005
12.4.1,"Violencia sexual, últimos 12 meses",violencia_sexual_12m,2021,1.8,,,,,0.05
12.4.1,"Violencia sexual, últimos 12 meses",violencia_sexual_12m,2022,2.1735,0.22356200323993433,1.7351346505782734,2.611835188728794,10.28587781853906,0.005
12.4.1,"Violencia sexual, últimos 12 meses",violencia_sexual_12m,2023,1.8744,0.17259508451049327,1.5359368872757122,2.2127698016915507,9.208246941189296,0.005
12.4.1,"Violencia sexual, últimos 12 meses",violencia_sexual_12m,2024,1.7086,0.15997020607344264,1.3949592671620492,2.0222843011297913,9.362528767793165,0.005
12.4.1,"Violencia sexual, últimos 12 meses",violencia_sexual_12m,2025,1.5593,0.20770509505235552,1.1520742118584695,1.966593051989072,13.320118979035101,0.005
12.4.2,"Violencia psicológica y/o verbal, últimos 12 meses",violencia_psicologica_12m,2021,32.4947,,,,,0.005
12.4.2,"Violencia psicológica y/o verbal, últimos 12 meses",violencia_psicologica_12m,2022,34.8111,0.6943133916726814,33.449683095009,36.1724397142153,1.994519453465131,0.005
12.4.2,"Violencia psicológica y/o verbal, últimos 12 meses",violencia_psicologica_12m,2023,33.513,0.6604689436807799,32.21800844872945,34.80804234975537,1.9707828100047047,0.005
12.4.2,"Violencia psicológica y/o verbal, últimos 12 meses",violencia_psicologica_12m,2024,33.1342,0.6816315151925418,31.797647585719137,34.47067354422375,2.0571866121550237,0.005
12.4.2,"Violencia psicológica y/o verbal, últimos 12 meses",violencia_psicologica_12m,2025,30.3331,0.7462679424250083,28.869827782725377,31.796329411091552,2.460244646915159,0.005
12.4.2,"Violencia total, últimos 12 meses",violencia_total_12m,2021,33.605,,,,,0.005
12.4.2,"Violencia total, últimos 12 meses",violencia_total_12m,2022,35.6299,0.6967445467981928,34.263706797946654,36.99599721527596,1.9555078327827693,0.005
12.4.2,"Violencia total, últimos 12 meses",violencia_total_12m,2023,34.4585,0.6650493826058306,33.15451101570241,35.76250714222125,1.9300004567286029,0.005
12.4.2,"Violencia total, últimos 12 meses",violencia_total_12m,2024,33.891,0.6810001697217823,32.55568473833147,35.226234868188925,2.0093859060795096,0.005
12.4.2,"Violencia total, últimos 12 meses",violencia_total_12m,2025,30.985,0.7445645958445679,29.5250392250819,32.444861152689214,2.4029878741313793,0.005
